Aa_50 Aa_100 Aa_150 Aa_200 APa_50 APa_100 APa_150 APa_200 Ap_50 Ap_100 Ap_200
146 21 43 1 124 121 0 77 19 484 192
3 4 189 122 431 311 166 318 140 231 122
5 48 22 28 267 102 150 8 1181 750 238
403 5 36 102 190 11 13 54 4439 1224 5
582 67 24 9 549 75 46 155 333 39 3
2162 41 1 362 193 68 134 103 1409 34 38
71 9 115 21 8 0 59 89 1024 498 57
24 22 115 9 2156 49 44 41 292 549 30
62 0 0 3 " " 92 1198 24 234 260 16
701 39 0 102 " " 662 438 124 3212 115 0
303 0 240 43 " " 35 65 92 0 0 1
101 108 226 120 " " 6 86 152 1384 485 179
421 14 30 63 " " 274 350 48 1219 18 232
130 155 291 0 " " 99 140 16 541 468 8
46 255 0 32 " " 97 73 21 299 308 169
130 53 88 156 " " 0 0 0 1606 139 104
202 101 6 24 " " 46 6 68 1822 17 1
164 0 3 30 " " 29 24 150 44 163 0
48 5 122 65 " " 146 1 68 27 152 243
107 28 111 12 " " 24 140 71 2734 702 0
312 14 45 1 " " 0 119 77 0 146 63
0 0 20 106 " " 500 4 130 328 99 0
116 187 81 77 " " 655 21 1 640 0 17
39 6 52 78 " " 811 751 108 0 1000 26
53 28 0 10 " " 404 95 0 195 1130 137
28 5 268 94 " " 6 230 54 799 510 17
7 22 33 19 " " 48 3 159 0 117 272
165 20 0 102 " " 9 50 18 787 369 439
108 45 2 140 " " 227 174 0 853 0 0
25 96 2 0 " " " " 171 216 155 237 189
287 47 1 18 " " " " 240 42 1140 386 100
476 6 126 326 " " " " 93 141 279 0 1
79 94 159 68 " " " " 14 186 1314 180 205
30 0 0 111 " " " " 40 0 49 183 110
5 80 1 52 " " " " 280 0 582 488 6
360 68 37 0 " " " " 103 1 0 211 31
21 0 0 52 " " " " 0 313 19 697 3
44 28 0 " " " " " " 122 35 258 " " 490
0 69 0 " " " " " " 529 269 628 " " 0
414 44 11 " " " " " " 2 54 1145 " " 85
" " 206 53 " " " " " " 55 70 93 " " 29
" " 28 48 " " " " " " 1 1 140 " " 490
" " 81 5 " " " " " " 320 360 652 " " 158
" " 13 1 " " " " " " 1 25 611 " " 305
" " 59 26 " " " " " " " " 62 200 " " 43
" " 178 27 " " " " " " " " 47 798 " " 523
" " 57 " " " " " " " " " " 136 208 " " 0
" " 1 " " " " " " " " " " 3 " " " " 5
" " " " " " " " " " " " " " 106 " " " " 64
" " " " " " " " " " " " " " 26 " " " " 6
" " " " " " " " " " " " " " " " " " " " 4
" " " " " " " " " " " " " " " " " " " " 186
" " " " " " " " " " " " " " " " " " " " 1
" " " " " " " " " " " " " " " " " " " " 141
" " " " " " " " " " " " " " " " " " " " 5
" " " " " " " " " " " " " " " " " " " " 0
" " " " " " " " " " " " " " " " " " " " 140
" " " " " " " " " " " " " " " " " " " " 5
" " " " " " " " " " " " " " " " " " " " 21
" " " " " " " " " " " " " " " " " " " " 73
" " " " " " " " " " " " " " " " " " " " 4
" " " " " " " " " " " " " " " " " " " " 0
" " " " " " " " " " " " " " " " " " " " 5
" " " " " " " " " " " " " " " " " " " " 0
" " " " " " " " " " " " " " " " " " " " 0
" " " " " " " " " " " " " " " " " " " " 182
