Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_pd _ on Au,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on 1ML PD,Au_NP on Au,Au_NP on Au,Au_NP on Au,Au_NP on Au
laser power 0.05 mW,laser power 0.1 mW,laser power 0.15mW,laser power 0.2mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.20 mW,laser power 0.05 mW,laser power 0.1 mW,laser power 0.15 mW,laser power 0.2mW
-87.919998, -88.720703, -85.460983, -80.91201, -100.92889, -104.50887, -101.13976, -101.13976, -84.924988, -86.106903, -90.447227, -85.891014
-85.720337, -86.52417, -83.266914, -78.736313, -98.685699, -102.24367, -98.894951, -98.894951, -82.73439, -83.909737, -88.229088, -83.694016
-83.521164, -84.328133, -81.073326, -76.561066, -96.443069, -99.979065, -96.650696, -96.650696, -80.544266, -81.713066, -86.011475, -81.497513
-81.322487, -82.132576, -78.880219, -74.386276, -94.200996, -97.71505, -94.406998, -94.406998, -78.354622, -79.516876, -83.794388, -79.301506
-79.12429, -79.937515, -76.687599, -72.211945, -91.959473, -95.451637, -92.163849, -92.163849, -76.165443, -77.321182, -81.577827, -77.105988
-76.92659, -77.742935, -74.495468, -70.038063, -89.718513, -93.188812, -89.921257, -89.921257, -73.976746, -75.125977, -79.361794, -74.910957
-74.729378, -75.548843, -72.303818, -67.864632, -87.478111, -90.926582, -87.679214, -87.679214, -71.788521, -72.931252, -77.146286, -72.716423
-72.532654, -73.35524, -70.112648, -65.691658, -85.238258, -88.664948, -85.437737, -85.437737, -69.600769, -70.737022, -74.931305, -70.522385
-70.336426, -71.162132, -67.921967, -63.519135, -82.998962, -86.403908, -83.1968, -83.1968, -67.41349, -68.543282, -72.716858, -68.328835
-68.140686, -68.969505, -65.731766, -61.347065, -80.760223, -84.143463, -80.956429, -80.956429, -65.226692, -66.350029, -70.50293, -66.135773
-65.945435, -66.777367, -63.542049, -59.175449, -78.522041, -81.883606, -78.716606, -78.716606, -63.040367, -64.157265, -68.289528, -63.943211
-63.750668, -64.585716, -61.352818, -57.004288, -76.284416, -79.624344, -76.477341, -76.477341, -60.854515, -61.964989, -66.076653, -61.751137
-61.556396, -62.394554, -59.16407, -54.83358, -74.04734, -77.365677, -74.238632, -74.238632, -58.669136, -59.773201, -63.864304, -59.559555
-59.362614, -60.203876, -56.975807, -52.663326, -71.810829, -75.107605, -72.000481, -72.000481, -56.484234, -57.581905, -61.652481, -57.368469
-57.169319, -58.013691, -54.788029, -50.493526, -69.574867, -72.850128, -69.762878, -69.762878, -54.299809, -55.391094, -59.441189, -55.177872
-54.976517, -55.823994, -52.600735, -48.324177, -67.339462, -70.593246, -67.525826, -67.525826, -52.115856, -53.200775, -57.230419, -52.987766
-52.784203, -53.634781, -50.413921, -46.155285, -65.104614, -68.336952, -65.289337, -65.289337, -49.932377, -51.010944, -55.02018, -50.798157
-50.592381, -51.44606, -48.227596, -43.986843, -62.870323, -66.081253, -63.053398, -63.053398, -47.749374, -48.821602, -52.810463, -48.609035
-48.401047, -49.257824, -46.041752, -41.818855, -60.636585, -63.826149, -60.818016, -60.818016, -45.566845, -46.632748, -50.601273, -46.42041
-46.210201, -47.070076, -43.856396, -39.651321, -58.403408, -61.571636, -58.583187, -58.583187, -43.384792, -44.444382, -48.392612, -44.232273
-44.019848, -44.882816, -41.67152, -37.484241, -56.17078, -59.317722, -56.348911, -56.348911, -41.203213, -42.256508, -46.184479, -42.044632
-41.829987, -42.696049, -39.487129, -35.317612, -53.938713, -57.064396, -54.115192, -54.115192, -39.02211, -40.069122, -43.976868, -39.857479
-39.64061, -40.509762, -37.303223, -33.15144, -51.707199, -54.811668, -51.88203, -51.88203, -36.84148, -37.882221, -41.769787, -37.670822
-37.451725, -38.323967, -35.119801, -30.98572, -49.476246, -52.559532, -49.649418, -49.649418, -34.661324, -35.695812, -39.563229, -35.484657
-35.263332, -36.13866, -32.936859, -28.820454, -47.245842, -50.307991, -47.417362, -47.417362, -32.481644, -33.509892, -37.357201, -33.298981
-33.075428, -33.953842, -30.754406, -26.65564, -45.015999, -48.057041, -45.185863, -45.185863, -30.302439, -31.324461, -35.151699, -31.1138
-30.888012, -31.76951, -28.572435, -24.49128, -42.786709, -45.806686, -42.954914, -42.954914, -28.123709, -29.139519, -32.94672, -28.929111
-28.701086, -29.585665, -26.390949, -22.327374, -40.557976, -43.556923, -40.724525, -40.724525, -25.945454, -26.955065, -30.742271, -26.744913
-26.51465, -27.402309, -24.209948, -20.163921, -38.3298, -41.307758, -38.494686, -38.494686, -23.767672, -24.771099, -28.538349, -24.561209
-24.328705, -25.219442, -22.029428, -18.000921, -36.102177, -39.059185, -36.265404, -36.265404, -21.590364, -22.587624, -26.334951, -22.377996
-22.14325, -23.037062, -19.849396, -15.838376, -33.875111, -36.811203, -34.036674, -34.036674, -19.413534, -20.404636, -24.132082, -20.195276
-19.958284, -20.855169, -17.669846, -13.676284, -31.648602, -34.563816, -31.808502, -31.808502, -17.237177, -18.222137, -21.929739, -18.013048
-17.773808, -18.673765, -15.490779, -11.514645, -29.422647, -32.317024, -29.580883, -29.580883, -15.061295, -16.040127, -19.727922, -15.831311
-15.589821, -16.492849, -13.312197, -9.3534594, -27.197248, -30.070826, -27.353819, -27.353819, -12.885887, -13.858606, -17.52663, -13.650067
-13.406324, -14.31242, -11.134099, -7.1927271, -24.972406, -27.82522, -25.12731, -25.12731, -10.710954, -11.677574, -15.325868, -11.469316
-11.223318, -12.13248, -8.9564848, -5.0324483, -22.748119, -25.580208, -22.901354, -22.901354, -8.5364962, -9.4970312, -13.12563, -9.2890568
-9.040801, -9.9530268, -6.779355, -2.872623, -20.524389, -23.335791, -20.675955, -20.675955, -6.3625126, -7.3169765, -10.92592, -7.1092901
-6.8587747, -7.7740617, -4.6027088, -0.71325135, -18.301214, -21.091967, -18.451109, -18.451109, -4.1890039, -5.1374106, -8.7267351, -4.9300151
-4.6772375, -5.5955849, -2.4265473, 1.4456669, -16.078596, -18.848736, -16.226818, -16.226818, -2.01597, -2.9583342, -6.5280771, -2.7512324
-2.4961901, -3.4175959, -0.25086948, 3.6041317, -13.856533, -16.606098, -14.00308, -14.00308, 0.15658924, -0.77974623, -4.329946, -0.57294208
-0.31563258, -1.2400947, 1.9243242, 5.7621431, -11.635026, -14.364056, -11.779899, -11.779899, 2.3286736, 1.3983529, -2.1323416, 1.604856
1.8644351, 0.9369185, 4.0990338, 7.9197011, -9.4140749, -12.122606, -9.557271, -9.557271, 4.5002832, 3.575963, 0.064736508, 3.782162
4.044013, 3.1134439, 6.2732592, 10.076805, -7.1936793, -9.8817511, -7.3351979, -7.3351979, 6.6714187, 5.7530842, 2.2612879, 5.9589758
6.2231007, 5.2894812, 8.4470005, 12.233457, -4.9738398, -7.6414886, -5.1136799, -5.1136799, 8.8420792, 7.9297171, 4.4573131, 8.1352968
8.4016991, 7.4650307, 10.620258, 14.389654, -2.7545562, -5.4018202, -2.8927162, -2.8927162, 11.012264, 10.105861, 6.6528115, 10.311126
10.579807, 9.6400928, 12.793032, 16.545399, -0.53582835, -3.1627457, -0.67230713, -0.67230713, 13.181975, 12.281515, 8.8477831, 12.486464
12.757426, 11.814666, 14.965322, 18.700689, 1.6823435, -0.92426485, 1.5475473, 1.5475473, 15.351212, 14.456681, 11.042229, 14.661308
14.934554, 13.988752, 17.137127, 20.855526, 3.8999596, 1.3136224, 3.7668474, 3.7668474, 17.519972, 16.631359, 13.236148, 16.835661
17.111193, 16.16235, 19.308447, 23.009909, 6.1170197, 3.550916, 5.9855924, 5.9855924, 19.688259, 18.805548, 15.42954, 19.009521
19.287342, 18.335461, 21.479284, 25.163839, 8.3335238, 5.7876158, 8.203783, 8.203783, 21.856071, 20.979246, 17.622406, 21.182888
21.463001, 20.508081, 23.649637, 27.317316, 10.549473, 8.0237217, 10.421419, 10.421419, 24.023409, 23.152458, 19.814745, 23.355764
23.63817, 22.680216, 25.819508, 29.470339, 12.764865, 10.259234, 12.638501, 12.638501, 26.190271, 25.325178, 22.006557, 25.528149
25.812851, 24.851862, 27.988892, 31.62291, 14.979702, 12.494153, 14.855028, 14.855028, 28.356659, 27.497412, 24.197844, 27.700039
27.98704, 27.023022, 30.157793, 33.775024, 17.193983, 14.728478, 17.071001, 17.071001, 30.522572, 29.669157, 26.388603, 29.871439
30.16074, 29.193691, 32.32621, 35.926689, 19.407707, 16.96221, 19.286417, 19.286417, 32.688011, 31.840412, 28.578836, 32.042347
32.33395, 31.363874, 34.494144, 38.0779, 21.620876, 19.195347, 21.501282, 21.501282, 34.852974, 34.011177, 30.768541, 34.212761
34.506672, 33.533569, 36.661591, 40.228653, 23.83349, 21.427891, 23.71559, 23.71559, 37.017464, 36.181458, 32.957722, 36.382683
36.678902, 35.702774, 38.828556, 42.378956, 26.045547, 23.659842, 25.929344, 25.929344, 39.181477, 38.351246, 35.146374, 38.552113
38.850643, 37.871494, 40.995037, 44.528805, 28.25705, 25.891197, 28.142542, 28.142542, 41.345016, 40.520546, 37.334503, 40.72105
41.021893, 40.039726, 43.161034, 46.678204, 30.467995, 28.12196, 30.355188, 30.355188, 43.50808, 42.689354, 39.522102, 42.889496
43.192654, 42.20747, 45.326546, 48.827145, 32.678383, 30.352129, 32.567276, 32.567276, 45.67067, 44.857677, 41.709175, 45.057449
45.362923, 44.374725, 47.491573, 50.975632, 34.888218, 32.581703, 34.778812, 34.778812, 47.832787, 47.025513, 43.895725, 47.224911
47.532707, 46.541492, 49.65612, 53.123669, 37.097496, 34.810688, 36.989796, 36.989796, 49.994427, 49.192856, 46.081745, 49.39188
49.701996, 48.707771, 51.820179, 55.271252, 39.306217, 37.039074, 39.200222, 39.200222, 52.15559, 51.359711, 48.267239, 51.558357
51.8708, 50.873562, 53.983757, 57.418377, 41.514385, 39.266869, 41.410091, 41.410091, 54.316284, 53.526077, 50.452206, 53.724342
54.039108, 53.038864, 56.146851, 59.565052, 43.721996, 41.494068, 43.619408, 43.619408, 56.476498, 55.691956, 52.636646, 55.889832
56.206932, 55.203682, 58.309456, 61.711273, 45.92905, 43.720676, 45.828171, 45.828171, 58.636242, 57.857346, 54.82056, 58.054832
58.374264, 57.368008, 60.471581, 63.857044, 48.135548, 45.94669, 48.036381, 48.036381, 60.795509, 60.022247, 57.003948, 60.219341
60.541107, 59.531849, 62.633221, 66.002357, 50.341492, 48.172108, 50.244034, 50.244034, 62.9543, 62.186657, 59.18681, 62.383358
62.707458, 61.695202, 64.79438, 68.147217, 52.546879, 50.396935, 52.451134, 52.451134, 65.112617, 64.350578, 61.369144, 64.546883
64.873322, 63.858067, 66.955048, 70.291626, 54.751709, 52.621166, 54.657677, 54.657677, 67.270462, 66.514015, 63.550953, 66.709908
67.038696, 66.020439, 69.115234, 72.435577, 56.955986, 54.844807, 56.863667, 56.863667, 69.427826, 68.676956, 65.732239, 68.872452
69.203575, 68.182327, 71.27494, 74.579079, 59.159702, 57.067852, 59.069099, 59.069099, 71.584724, 70.839417, 67.912987, 71.034492
71.367973, 70.343727, 73.434158, 76.72213, 61.362865, 59.290302, 61.273983, 61.273983, 73.741142, 73.001381, 70.093216, 73.196053
73.531876, 72.504646, 75.592896, 78.864723, 63.565475, 61.512157, 63.478306, 63.478306, 75.897087, 75.162865, 72.272919, 75.357109
75.69529, 74.66507, 77.751152, 81.006859, 65.767525, 63.733421, 65.682076, 65.682076, 78.052551, 77.323853, 74.452095, 77.517685
77.858208, 76.825005, 79.90892, 83.148552, 67.969025, 65.954094, 67.885292, 67.885292, 80.20755, 79.484352, 76.630745, 79.677757
80.020645, 78.984451, 82.0662, 85.28978, 70.16996, 68.174171, 70.087959, 70.087959, 82.362068, 81.644363, 78.808868, 81.837349
82.182587, 81.143417, 84.223, 87.430565, 72.370346, 70.393654, 72.290062, 72.290062, 84.516113, 83.803886, 80.986465, 83.996437
84.34404, 83.301888, 86.379318, 89.570892, 74.570175, 72.612541, 74.491615, 74.491615, 86.669678, 85.962921, 83.163536, 86.155037
86.505005, 85.459869, 88.535149, 91.710762, 76.769447, 74.830833, 76.692619, 76.692619, 88.822777, 88.121468, 85.340073, 88.313148
88.665482, 87.617371, 90.690498, 93.850182, 78.968163, 77.048538, 78.893059, 78.893059, 90.975395, 90.279526, 87.51609, 90.470764
90.82547, 89.774376, 92.84536, 95.989151, 81.166328, 79.265648, 81.092949, 81.092949, 93.127541, 92.437096, 89.691582, 92.627892
92.984962, 91.930901, 94.999741, 98.127663, 83.36393, 81.482162, 83.292282, 83.292282, 95.279213, 94.59417, 91.866547, 94.784523
95.143967, 94.086937, 97.153633, 100.26572, 85.560982, 83.698082, 85.491066, 85.491066, 97.430412, 96.750763, 94.040985, 96.940659
97.302483, 96.242477, 99.307045, 102.40333, 87.757469, 85.913406, 87.689285, 87.689285, 99.581131, 98.90686, 96.21489, 99.096306
99.46051, 98.397537, 101.45997, 104.54048, 89.953407, 88.128136, 89.886955, 89.886955, 101.73138, 101.06248, 98.388275, 101.25146
101.61804, 100.55211, 103.61242, 106.67718, 92.148788, 90.342278, 92.084076, 92.084076, 103.88115, 103.2176, 100.56113, 103.40613
103.77509, 102.70619, 105.76437, 108.81342, 94.343613, 92.555824, 94.28064, 94.28064, 106.03045, 105.37223, 102.73347, 105.5603
105.93165, 104.85978, 107.91585, 110.94921, 96.537888, 94.768776, 96.476646, 96.476646, 108.17928, 107.52638, 104.90527, 107.71397
108.08771, 107.01289, 110.06684, 113.08456, 98.731598, 96.981133, 98.672096, 98.672096, 110.32762, 109.68004, 107.07655, 109.86716
110.24329, 109.1655, 112.21735, 115.21944, 100.92476, 99.192902, 100.867, 100.867, 112.47549, 111.83321, 109.2473, 112.01986
112.39838, 111.31763, 114.36737, 117.35387, 103.11736, 101.40407, 103.06133, 103.06133, 114.62289, 113.98589, 111.41752, 114.17206
114.55297, 113.46928, 116.51691, 119.48785, 105.3094, 103.61465, 105.25513, 105.25513, 116.76981, 116.13808, 113.58722, 116.32377
116.70708, 115.62044, 118.66596, 121.62138, 107.50089, 105.82463, 107.44836, 107.44836, 118.91627, 118.28978, 115.75639, 118.47498
118.86069, 117.7711, 120.81454, 123.75444, 109.69183, 108.03402, 109.64104, 109.64104, 121.06224, 120.44099, 117.92503, 120.62571
121.01382, 119.92128, 122.96262, 125.88706, 111.88221, 110.24281, 111.83316, 111.83316, 123.20774, 122.59171, 120.09315, 122.77595
123.16646, 122.07097, 125.11022, 128.01923, 114.07203, 112.45102, 114.02473, 114.02473, 125.35277, 124.74195, 122.26074, 124.92568
125.3186, 124.22018, 127.25735, 130.15094, 116.2613, 114.65862, 116.21575, 116.21575, 127.49731, 126.89169, 124.42781, 127.07494
127.47026, 126.36889, 129.40398, 132.2822, 118.45001, 116.86564, 118.40621, 118.40621, 129.64139, 129.04095, 126.59435, 129.22369
129.62143, 128.51712, 131.55013, 134.41299, 120.63817, 119.07206, 120.59612, 120.59612, 131.78499, 131.18973, 128.76036, 131.37195
131.77211, 130.66486, 133.6958, 136.54335, 122.82577, 121.27789, 122.78547, 122.78547, 133.92812, 133.338, 130.92584, 133.51973
133.9223, 132.8121, 135.84097, 138.67325, 125.01281, 123.48312, 124.97427, 124.97427, 136.07077, 135.48579, 133.09081, 135.66701
136.07199, 134.95886, 137.98567, 140.80269, 127.1993, 125.68777, 127.16251, 127.16251, 138.21295, 137.63309, 135.25523, 137.8138
138.22121, 137.10515, 140.12988, 142.93169, 129.38522, 127.89181, 129.35019, 129.35019, 140.35464, 139.77991, 137.41914, 139.96008
140.36992, 139.25093, 142.27362, 145.06021, 131.5706, 130.09526, 131.53732, 131.53732, 142.49588, 141.92624, 139.58252, 142.1059
142.51816, 141.39622, 144.41687, 147.18829, 133.75542, 132.29813, 133.72391, 133.72391, 144.63663, 144.07207, 141.74538, 144.25121
144.66589, 143.54105, 146.55963, 149.31593, 135.93968, 134.50038, 135.90993, 135.90993, 146.7769, 146.21742, 143.9077, 146.39603
146.81314, 145.68536, 148.7019, 151.4431, 138.1234, 136.70206, 138.0954, 138.0954, 148.9167, 148.36227, 146.0695, 148.54034
148.9599, 147.82921, 150.8437, 153.56982, 140.30655, 138.90314, 140.28032, 140.28032, 151.05605, 150.50664, 148.23077, 150.68417
151.10617, 149.97255, 152.98502, 155.69609, 142.48915, 141.10362, 142.46468, 142.46468, 153.19489, 152.65053, 150.39153, 152.82751
153.25195, 152.11542, 155.12584, 157.82191, 144.67119, 143.30351, 144.64848, 144.64848, 155.33327, 154.79391, 152.55174, 154.97037
155.39723, 154.25778, 157.26617, 159.94728, 146.85268, 145.50281, 146.83173, 146.83173, 157.47118, 156.93681, 154.71143, 157.11273
157.54204, 156.39967, 159.40604, 162.07219, 149.0336, 147.70151, 149.01443, 149.01443, 159.6086, 159.07922, 156.87061, 159.25459
159.68636, 158.54106, 161.54541, 164.19664, 151.21397, 149.89963, 151.19658, 151.19658, 161.74556, 161.22116, 159.02924, 161.39597
161.83017, 160.68198, 163.6843, 166.32065, 153.39378, 152.09714, 153.37816, 153.37816, 163.88203, 163.36259, 161.18735, 163.53685
163.9735, 162.82239, 165.82271, 168.4442, 155.57304, 154.29405, 155.55919, 155.55919, 166.01805, 165.50354, 163.34494, 165.67723
166.11635, 164.96233, 167.96063, 170.56729, 157.75175, 156.49039, 157.73967, 157.73967, 168.15358, 167.644, 165.502, 167.81712
168.2587, 167.10178, 170.09807, 172.68993, 159.9299, 158.68613, 159.91959, 159.91959, 170.28864, 169.78397, 167.65854, 169.95653
170.40056, 169.24072, 172.23502, 174.81212, 162.1075, 160.88126, 162.09897, 162.09897, 172.42322, 171.92345, 169.81454, 172.09544
172.54193, 171.3792, 174.37149, 176.93385, 164.28453, 163.07581, 164.27777, 164.27777, 174.55731, 174.06244, 171.97002, 174.23387
174.6828, 173.51718, 176.50748, 179.05513, 166.46101, 165.26976, 166.45604, 166.45604, 176.69095, 176.20094, 174.12498, 176.3718
176.8232, 175.65468, 178.64297, 181.17596, 168.63695, 167.46312, 168.63374, 168.63374, 178.82411, 178.33896, 176.2794, 178.50923
178.9631, 177.79167, 180.77798, 183.29634, 170.81232, 169.65588, 170.8109, 170.8109, 180.95679, 180.47649, 178.4333, 180.64616
181.10251, 179.92819, 182.91252, 185.41626, 172.98712, 171.84807, 172.98749, 172.98749, 183.08899, 182.61353, 180.58669, 182.78262
183.24144, 182.06422, 185.04657, 187.53572, 175.16139, 174.03964, 175.16353, 175.16353, 185.22073, 184.75006, 182.73953, 184.91858
185.37987, 184.19977, 187.18015, 189.65474, 177.33508, 176.23062, 177.33902, 177.33902, 187.35199, 186.88612, 184.89185, 187.05405
187.51781, 186.33482, 189.31322, 191.7733, 179.50824, 178.42102, 179.51395, 179.51395, 189.48277, 189.0217, 187.04366, 189.18903
189.65526, 188.46939, 191.44582, 193.8914, 181.68083, 180.61081, 181.68832, 181.68832, 191.61308, 191.15678, 189.19492, 191.3235
191.79222, 190.60347, 193.57793, 196.00906, 183.85286, 182.80002, 183.86215, 183.86215, 193.74292, 193.29137, 191.34566, 193.45749
193.9287, 192.73706, 195.70956, 198.12627, 186.02434, 184.98863, 186.03542, 186.03542, 195.87227, 195.42548, 193.49588, 195.59099
196.06468, 194.87016, 197.8407, 200.24301, 188.19527, 187.17665, 188.20813, 188.20813, 198.00116, 197.55908, 195.64557, 197.72398
198.20018, 197.00278, 199.97136, 202.3593, 190.36563, 189.36407, 190.38029, 190.38029, 200.12956, 199.69221, 197.79472, 199.85651
200.33517, 199.1349, 202.10155, 204.47514, 192.53545, 191.5509, 192.5519, 192.5519, 202.25751, 201.82484, 199.94336, 201.98853
202.4697, 201.26654, 204.23123, 206.59053, 194.7047, 193.73714, 194.72295, 194.72295, 204.38496, 203.957, 202.09148, 204.12006
204.60371, 203.39769, 206.36044, 208.70546, 196.8734, 195.92278, 196.89345, 196.89345, 206.51195, 206.08865, 204.23906, 206.25108
206.73724, 205.52835, 208.48917, 210.81993, 199.04155, 198.10782, 199.06339, 199.06339, 208.63846, 208.21983, 206.38611, 208.38164
208.8703, 207.65852, 210.61742, 212.93396, 201.20914, 200.29228, 201.23277, 201.23277, 210.7645, 210.35051, 208.53264, 210.51169
211.00285, 209.78821, 212.74516, 215.04753, 203.37616, 202.47614, 203.4016, 203.4016, 212.89006, 212.4807, 210.67865, 212.64124
213.13492, 211.9174, 214.87244, 217.16066, 205.54263, 204.65941, 205.56989, 205.56989, 215.01514, 214.61041, 212.82413, 214.77031
215.26648, 214.04613, 216.99922, 219.27332, 207.70856, 206.84207, 207.73759, 207.73759, 217.13976, 216.73962, 214.96907, 216.89888
217.39757, 216.17435, 219.12553, 221.38553, 209.87393, 209.02415, 209.90477, 209.90477, 219.26389, 218.86835, 217.11349, 219.02696
219.52817, 218.30208, 221.25136, 223.4973, 212.03873, 211.20564, 212.07138, 212.07138, 221.38756, 220.99658, 219.25739, 221.15456
221.65828, 220.42932, 223.37669, 225.6086, 214.20299, 213.38654, 214.23744, 214.23744, 223.51074, 223.12433, 221.40076, 223.28165
223.78789, 222.55609, 225.50154, 227.71945, 216.36668, 215.56683, 216.40294, 216.40294, 225.63345, 225.2516, 223.54361, 225.40826
225.91701, 224.68236, 227.6259, 229.82985, 218.52983, 217.74654, 218.56789, 218.56789, 227.75569, 227.37837, 225.68593, 227.53438
228.04565, 226.80814, 229.74979, 231.93979, 220.69241, 219.92564, 220.73228, 220.73228, 229.87746, 229.50465, 227.82771, 229.65999
